bolt_diameter,anchor_diameter,anchor_depth_standard,anchor_depth_short,url_standard,url_short
2,3.1,4,3,https://www.mcmaster.com/94459A767,https://www.mcmaster.com/94459A110
2.5,3.9,7,5,https://www.mcmaster.com/94459A439,https://www.mcmaster.com/94459A768
3,3.9,7,4.5,https://www.mcmaster.com/94459A140,https://www.mcmaster.com/94459A769
3.5,4.7,7.5,5,https://www.mcmaster.com/94459A773,https://www.mcmaster.com/94459A772
4,5.5,7.5,5,https://www.mcmaster.com/94459A160,https://www.mcmaster.com/94459A150
5,6.3,9,6.5,https://www.mcmaster.com/94459A775,https://www.mcmaster.com/94459A774
6,7.9,9,7.5,https://www.mcmaster.com/94459A190,https://www.mcmaster.com/94459A776
6.35,7.9,10.5,7.5,https://www.mcmaster.com/94459A380,https://www.mcmaster.com/94459A737
8,9.5,14,7.5,https://www.mcmaster.com/94459A778,https://www.mcmaster.com/94459A777
10,11.8,14,14,https://www.mcmaster.com/94459A779,https://www.mcmaster.com/94459A779
