VID_panel,panel_name,panel_thickness_mm,panel_thickness_32,panel_is_metric
1,0mm,0,0,TRUE
2,1/32in,0.79375,1,FALSE
3,1mm,1,1.25984251968504,TRUE
4,1/16in,1.5875,2,FALSE
5,2mm,2,2.51968503937008,TRUE
6,3/32in,2.38125,3,FALSE
7,3mm,3,3.77952755905512,TRUE
8,1/8in,3.175,4,FALSE
9,4mm,4,5.03937007874016,TRUE
10,3/16in,4.7625,6,FALSE
11,5mm,5,6.2992125984252,TRUE
12,7/32in,5.55625,7,FALSE
13,6mm,6,7.55905511811024,TRUE
14,1/4in,6.35,8,FALSE
15,5/16in,7.9375,10,FALSE
16,8mm,8,10.0787401574803,TRUE
17,3/8in,9.525,12,FALSE
18,10mm,10,12.5984251968504,TRUE
19,7/16in,11.1125,14,FALSE
20,15/32in,11.90625,15,FALSE
21,12mm,12,15.1181102362205,TRUE
22,1/2in,12.7,16,FALSE
23,14mm,14,17.6377952755906,TRUE
24,9/16in,14.2875,18,FALSE
25,15mm,15,18.8976377952756,TRUE
26,19/32in,15.08125,19,FALSE
27,5/8in,15.875,20,FALSE
28,16mm,16,20.1574803149606,TRUE
29,18mm,18,22.6771653543307,TRUE
30,23/32in,18.25625,23,FALSE
31,3/4in,19.05,24,FALSE
